Gender,Grade_Level,Study_Hours,Attendance (%),Exam_Score,Extra_Curricular,Internet_Access,Daily_Screen_Time,Part_Time_Job,Parent_Education_High School,Parent_Education_Master's,Parent_Education_PhD,Satisfaction_Level_Satisfied,Satisfaction_Level_Unsatisfied,Satisfaction_Level_Very Satisfied,Health_Status_Excellent,Health_Status_Good,Health_Status_Poor
1,12,2,86,84,0,1,5,0,0,0,1,0,0,0,0,1,0
1,12,5,72,100,0,1,5,0,1,0,0,0,0,1,0,0,1
1,11,0,83,83,0,1,5,0,0,0,0,0,0,1,0,1,0
0,11,3,78,71,1,1,1,0,0,1,0,0,0,0,0,1,0
0,11,2,79,87,0,0,5,1,0,1,0,1,0,0,0,1,0
0,10,3,78,88,1,1,1,0,1,0,0,1,0,0,0,1,0
0,10,3,93,84,0,1,5,0,0,1,0,1,0,0,0,1,0
1,11,1,79,86,0,1,3,0,0,0,0,1,0,0,0,1,0
0,12,3,84,76,1,1,5,1,0,0,0,1,0,0,0,0,0
0,10,4,79,83,1,1,2,0,0,1,0,0,0,0,1,0,0
0,9,2,82,91,1,1,5,1,0,1,0,1,0,0,0,1,0
0,10,4,93,94,1,1,1,0,0,1,0,0,0,0,0,0,0
1,10,3,91,70,0,1,3,0,0,0,1,1,0,0,0,1,0
1,12,3,83,76,1,1,2,0,0,0,0,1,0,0,1,0,0
1,12,3,76,100,1,0,1,0,0,0,0,0,0,0,0,0,0
1,9,1,72,92,1,1,4,0,0,1,0,0,0,0,0,0,0
0,9,4,91,84,0,1,6,0,0,0,0,0,0,1,0,1,0
1,12,2,76,76,0,1,8,1,1,0,0,1,0,0,0,0,0
0,12,1,94,72,1,1,4,0,0,1,0,1,0,0,0,1,0
0,12,1,81,81,1,0,5,1,0,0,1,1,0,0,0,0,0
0,12,2,76,78,0,1,4,0,0,0,0,0,0,0,0,1,0
0,12,3,79,67,0,1,4,1,0,1,0,0,0,0,0,0,1
1,11,3,70,53,1,1,3,0,1,0,0,1,0,0,0,0,1
1,10,1,82,79,1,1,4,0,1,0,0,1,0,0,1,0,0
1,10,5,93,72,1,0,4,0,1,0,0,1,0,0,0,1,0
0,12,2,74,74,1,1,3,0,1,0,0,0,0,1,0,0,0
0,9,2,88,62,1,1,3,1,0,0,1,1,0,0,0,0,0
0,12,3,100,73,0,1,3,0,1,0,0,1,0,0,0,1,0
0,12,3,91,68,1,0,5,0,0,0,0,1,0,0,0,1,0
1,12,3,85,76,0,1,2,0,1,0,0,1,0,0,1,0,0
1,12,1,85,82,1,1,3,0,0,0,0,1,0,0,1,0,0
0,10,5,94,100,0,1,6,0,0,1,0,0,0,1,0,1,0
1,12,1,93,77,0,1,5,1,0,0,0,1,0,0,0,1,0
1,12,6,76,62,1,1,6,0,1,0,0,1,0,0,0,1,0
1,11,2,63,67,1,1,4,1,0,0,0,0,0,0,0,1,0
0,11,1,86,80,0,1,4,1,0,1,0,1,0,0,0,0,0
0,11,5,94,66,1,1,5,0,0,1,0,1,0,0,0,0,0
1,11,1,89,55,1,1,6,0,1,0,0,0,1,0,0,0,1
1,9,5,96,67,1,1,1,0,0,0,1,0,0,0,0,0,1
1,10,0,98,73,0,1,2,0,1,0,0,1,0,0,0,0,0
1,10,4,69,66,1,1,5,0,0,0,0,0,0,0,0,1,0
0,10,3,85,68,0,0,3,0,0,1,0,0,0,1,0,1,0
1,10,3,74,72,1,1,2,0,0,0,1,0,0,0,0,1,0
1,11,3,90,85,0,1,2,0,0,0,0,0,0,1,0,0,0
0,12,1,69,94,1,1,3,0,0,0,1,0,0,0,0,0,1
1,9,3,77,98,0,1,1,1,0,1,0,1,0,0,0,1,0
1,9,3,96,76,1,1,7,0,0,0,0,1,0,0,0,0,0
0,9,6,100,71,0,1,3,0,0,0,0,1,0,0,0,1,0
0,12,4,91,95,0,1,3,0,1,0,0,0,0,1,1,0,0
0,10,1,91,90,1,0,4,0,0,0,0,1,0,0,0,0,0
0,12,0,73,44,1,1,5,0,0,0,0,0,0,1,0,0,0
0,11,2,92,97,1,1,5,0,0,0,1,0,0,1,0,1,0
1,11,3,100,54,1,1,5,0,0,0,1,0,0,0,1,0,0
0,12,0,84,80,0,1,3,0,0,0,0,1,0,0,0,1,0
0,10,2,64,73,1,1,3,0,0,0,0,1,0,0,1,0,0
0,11,1,91,80,1,1,5,0,0,0,0,1,0,0,0,0,0
0,9,1,79,59,0,1,3,1,0,0,0,0,0,0,1,0,0
1,12,2,94,60,1,1,3,1,0,0,0,1,0,0,0,0,0
0,12,3,79,63,1,0,4,0,0,0,0,0,1,0,0,0,1
0,10,2,74,66,1,1,5,0,0,0,0,0,0,0,1,0,0
0,12,1,100,75,0,1,1,0,0,0,0,1,0,0,1,0,0
0,11,1,87,73,0,1,5,0,0,1,0,0,0,0,0,0,1
0,10,2,91,86,0,1,3,0,1,0,0,0,0,0,0,0,0
1,10,2,79,70,1,1,5,0,1,0,0,1,0,0,0,0,1
0,11,0,69,95,0,1,5,0,0,0,1,0,0,1,0,0,0
0,10,5,82,83,1,0,6,0,0,0,0,1,0,0,0,0,0
1,11,3,100,91,1,0,6,1,1,0,0,0,1,0,1,0,0
0,10,2,75,50,1,1,6,0,0,1,0,1,0,0,0,1,0
1,9,3,77,53,1,1,6,0,0,0,0,1,0,0,0,1,0
0,11,2,74,100,1,1,4,0,1,0,0,0,1,0,0,1,0
0,9,4,84,97,1,1,4,0,0,1,0,1,0,0,0,1,0
1,9,3,76,97,1,1,5,1,1,0,0,0,0,1,0,1,0
0,9,3,74,72,1,1,5,0,0,0,1,0,0,0,0,1,0
0,10,1,71,88,0,1,3,1,0,1,0,1,0,0,0,0,0
0,11,5,71,83,1,1,4,0,0,0,1,0,0,1,0,1,0
0,9,2,80,66,0,1,3,0,0,1,0,1,0,0,0,1,0
1,10,1,85,62,1,1,2,0,0,0,0,0,1,0,1,0,0
1,10,3,84,71,0,1,5,1,0,0,0,0,0,0,1,0,0
0,12,1,79,86,1,0,4,0,0,1,0,1,0,0,0,1,0
1,10,3,75,76,1,1,7,0,0,0,0,0,0,0,0,1,0
0,9,4,68,83,1,1,1,0,0,1,0,0,0,1,0,0,1
1,12,2,90,63,0,1,3,0,1,0,0,0,0,0,0,1,0
1,11,0,68,75,0,1,4,0,0,1,0,0,1,0,0,0,0
1,11,3,75,84,1,1,5,0,0,0,0,0,0,1,0,0,1
0,12,0,84,56,1,1,4,0,1,0,0,1,0,0,0,0,0
0,11,2,85,62,0,1,4,0,0,0,0,1,0,0,0,1,0
1,9,2,95,66,0,1,2,0,0,0,1,1,0,0,0,0,0
0,9,4,73,82,1,1,2,0,1,0,0,0,0,1,1,0,0
1,11,5,60,63,1,1,4,0,0,0,0,1,0,0,0,0,1
1,12,3,82,80,1,1,1,0,0,0,0,1,0,0,1,0,0
0,10,2,85,72,0,1,3,0,0,0,1,1,0,0,0,1,0
0,9,4,87,80,1,0,4,0,0,0,0,1,0,0,0,0,0
0,9,2,80,68,0,1,2,1,0,0,1,1,0,0,0,0,0
0,11,3,80,79,1,1,6,0,0,1,0,1,0,0,0,1,0
1,12,6,93,70,1,1,5,0,1,0,0,0,0,0,0,1,0
1,12,4,80,44,1,1,1,0,0,0,1,0,0,1,0,1,0
1,12,1,66,69,0,0,2,0,0,0,0,0,0,0,0,0,0
0,12,3,100,79,0,1,1,0,0,1,0,1,0,0,0,1,0
1,11,2,93,41,1,1,2,0,0,0,0,0,0,1,1,0,0
0,12,3,92,52,0,1,5,0,1,0,0,0,0,1,0,0,0
1,10,4,88,68,1,1,3,0,0,0,0,0,1,0,0,1,0
0,9,3,100,77,1,1,4,0,1,0,0,0,0,1,0,0,0
1,12,3,80,62,1,1,1,1,0,0,1,1,0,0,0,1,0
1,12,4,76,76,1,1,5,0,0,0,1,0,0,0,0,1,0
0,12,2,89,80,1,1,3,1,0,1,0,0,0,1,0,0,0
1,12,4,79,70,0,1,4,0,0,0,0,1,0,0,0,0,1
1,9,1,80,80,1,1,3,0,0,0,0,1,0,0,0,0,1
0,11,4,75,88,0,1,2,0,0,0,1,1,0,0,0,1,0
1,11,5,89,100,1,1,2,0,0,1,0,0,0,1,0,1,0
0,10,1,72,48,0,1,5,0,0,0,0,1,0,0,1,0,0
0,12,5,91,74,1,1,4,1,0,0,0,1,0,0,0,1,0
1,10,3,73,100,1,1,5,1,0,0,0,0,0,0,0,0,0
0,9,3,86,85,1,1,4,0,0,0,0,1,0,0,1,0,0
0,12,3,87,63,1,1,4,0,0,0,1,1,0,0,0,1,0
1,12,3,100,95,0,1,1,0,0,0,1,0,0,0,0,1,0
0,9,5,79,60,1,1,3,0,0,0,1,1,0,0,0,0,1
0,9,2,85,91,0,0,3,1,0,1,0,1,0,0,0,0,0
1,9,0,100,72,1,1,6,0,0,0,0,0,0,1,1,0,0
0,12,2,74,50,1,1,5,0,0,1,0,0,0,1,0,1,0
0,11,4,85,55,1,1,6,1,0,1,0,0,0,1,0,0,0
0,9,1,81,100,0,1,4,0,0,1,0,0,0,0,0,1,0
0,10,2,69,71,0,1,2,0,0,1,0,1,0,0,1,0,0
1,9,2,58,74,1,1,4,1,0,0,0,1,0,0,0,0,0
1,9,2,91,100,1,1,4,0,0,0,0,0,1,0,0,1,0
0,11,4,82,58,1,1,2,0,0,0,0,0,0,0,1,0,0
0,10,6,85,75,0,1,3,0,1,0,0,0,1,0,0,0,0
0,10,2,86,72,0,1,3,0,0,0,0,1,0,0,0,1,0
1,12,2,79,74,1,1,6,0,0,1,0,1,0,0,0,1,0
1,12,2,77,76,1,1,1,0,0,0,1,1,0,0,0,1,0
1,9,2,100,35,1,1,5,1,0,0,0,1,0,0,0,0,0
0,12,4,97,43,0,1,2,0,0,1,0,1,0,0,0,0,0
0,10,2,81,53,1,1,1,0,0,0,1,0,0,1,0,1,0
1,10,1,73,100,0,1,5,0,0,0,0,1,0,0,0,0,0
0,11,4,97,85,1,1,5,0,1,0,0,0,0,1,0,1,0
0,11,1,79,82,0,1,5,0,1,0,0,0,0,1,0,0,0
1,12,1,92,71,0,1,5,0,0,1,0,0,0,1,0,0,1
1,11,2,92,81,0,1,7,0,1,0,0,0,0,0,1,0,0
0,10,2,96,58,0,1,4,0,0,1,0,0,0,1,0,1,0
1,11,3,90,70,0,1,3,1,0,1,0,0,1,0,1,0,0
0,10,3,72,88,1,1,4,0,1,0,0,0,0,0,0,0,0
0,10,2,79,90,1,1,5,1,1,0,0,1,0,0,0,1,0
0,11,1,70,51,1,1,2,0,0,1,0,0,0,0,0,0,0
0,11,3,72,100,0,1,3,0,0,1,0,1,0,0,0,1,0
1,12,0,100,78,1,1,3,1,0,0,1,0,0,0,0,1,0
1,12,2,79,80,0,1,1,0,0,0,1,0,0,1,0,0,0
0,9,2,96,76,0,1,4,0,0,1,0,0,1,0,1,0,0
1,12,3,81,74,1,1,1,0,0,0,0,1,0,0,0,0,0
0,12,3,67,54,1,1,4,0,0,1,0,0,0,1,0,1,0
1,10,4,86,72,1,1,5,1,0,0,0,1,0,0,1,0,0
0,10,3,88,66,1,1,3,0,0,1,0,1,0,0,1,0,0
0,11,1,86,60,1,1,6,0,0,1,0,0,0,0,1,0,0
1,9,3,67,90,1,1,1,0,0,0,0,1,0,0,0,0,0
1,10,3,87,89,0,1,5,0,0,0,1,0,0,0,0,0,0
0,11,5,95,47,0,1,5,0,0,1,0,1,0,0,0,0,0
0,10,1,78,75,1,1,1,0,0,0,1,1,0,0,0,1,0
0,12,3,77,77,1,1,8,0,0,0,1,0,0,0,0,1,0
0,10,1,78,53,1,1,3,0,0,0,0,0,0,1,0,0,0
0,9,1,71,60,0,1,2,0,0,0,1,1,0,0,0,1,0
0,9,4,75,100,0,1,1,0,0,0,0,0,0,0,0,0,0
1,12,3,86,62,1,1,3,0,1,0,0,0,0,0,0,0,0
1,9,4,79,76,1,1,3,0,0,1,0,0,0,0,0,1,0
1,10,6,84,92,0,1,4,1,1,0,0,1,0,0,0,1,0
1,10,1,84,100,0,1,3,0,0,1,0,0,0,0,1,0,0
1,9,2,100,85,1,1,4,0,0,0,0,0,0,1,0,0,0
1,11,2,91,89,0,0,3,0,0,1,0,0,0,0,0,1,0
1,10,3,69,64,1,1,1,0,1,0,0,1,0,0,0,0,1
1,11,2,84,84,1,1,3,1,1,0,0,0,0,0,0,0,0
1,12,3,71,80,0,1,1,0,0,0,0,1,0,0,0,1,0
0,12,3,90,91,0,1,4,0,0,1,0,1,0,0,1,0,0
1,12,4,89,73,1,1,2,0,0,0,0,0,0,1,0,0,0
1,11,0,89,78,0,1,4,0,0,0,0,0,0,1,0,0,0
1,12,3,72,58,1,0,5,0,0,1,0,1,0,0,0,1,0
1,12,4,84,85,0,1,2,0,0,1,0,1,0,0,0,0,0
1,11,3,85,89,1,1,5,0,0,1,0,0,1,0,1,0,0
0,11,2,85,68,0,1,3,1,0,0,0,1,0,0,0,1,0
0,12,2,81,78,0,1,6,0,0,0,0,1,0,0,0,0,0
1,10,2,97,61,1,1,3,0,0,0,0,0,0,1,0,1,0
0,11,2,80,96,0,1,2,0,0,1,0,1,0,0,0,1,0
1,11,3,95,52,0,1,5,0,0,0,0,1,0,0,0,0,0
0,10,3,93,76,0,1,3,1,0,1,0,1,0,0,0,1,0
1,9,4,79,96,1,1,2,0,1,0,0,0,1,0,0,0,1
0,10,6,81,68,0,1,3,1,0,0,0,1,0,0,0,1,0
0,9,5,100,67,0,1,3,0,0,0,0,0,0,1,0,0,0
0,9,2,82,54,1,1,6,1,0,0,1,1,0,0,1,0,0
0,9,1,74,63,0,1,1,0,0,0,0,0,0,0,0,0,0
0,10,2,87,98,1,1,4,0,0,1,0,1,0,0,0,0,0
0,9,1,94,71,1,1,4,0,0,1,0,1,0,0,1,0,0
0,9,2,91,58,1,1,4,1,0,1,0,1,0,0,0,0,1
0,9,3,86,82,1,1,5,0,1,0,0,1,0,0,0,0,0
0,11,3,100,65,0,1,3,0,0,0,0,0,0,0,0,0,0
1,12,2,78,66,1,1,3,0,1,0,0,1,0,0,0,0,0
1,9,2,96,96,0,1,4,0,0,1,0,0,0,0,1,0,0
0,12,2,76,82,1,1,4,0,0,0,0,1,0,0,0,1,0
0,9,2,91,78,1,1,3,0,0,0,1,0,0,0,0,0,1
1,9,0,100,100,1,1,4,0,0,0,0,1,0,0,0,1,0
0,12,2,81,79,1,1,3,1,0,0,0,0,0,0,0,1,0
1,11,3,91,100,0,0,3,0,0,0,0,0,0,0,1,0,0
0,11,2,77,54,0,1,3,0,1,0,0,1,0,0,0,0,0
1,9,1,84,100,0,1,6,1,1,0,0,0,0,1,0,1,0
1,11,2,87,74,1,1,1,0,0,0,0,0,0,0,0,1,0
0,12,4,100,67,1,1,4,0,1,0,0,1,0,0,0,1,0
1,11,2,95,85,1,1,4,0,1,0,0,0,0,1,0,1,0
1,12,5,90,69,1,1,1,0,1,0,0,0,0,1,0,0,0
0,12,3,96,87,1,1,4,1,0,0,0,1,0,0,0,1,0
0,11,3,95,92,0,1,4,0,1,0,0,0,1,0,0,1,0
0,10,5,91,72,1,1,4,0,0,1,0,1,0,0,1,0,0
0,9,3,97,62,0,1,1,1,0,0,0,0,0,0,0,0,0
0,12,3,81,75,1,1,6,0,0,0,0,1,0,0,0,1,0
0,11,4,86,75,1,1,2,1,1,0,0,1,0,0,1,0,0
1,9,0,92,84,0,1,5,0,0,0,0,0,0,0,0,1,0
0,11,6,81,78,1,1,5,0,0,1,0,0,0,1,1,0,0
1,10,3,100,73,0,1,2,0,1,0,0,0,0,0,1,0,0
1,10,3,91,77,0,1,4,1,0,1,0,1,0,0,0,0,0
1,12,2,86,91,1,1,3,1,0,0,0,1,0,0,0,1,0
0,11,1,86,64,0,0,1,0,0,0,1,1,0,0,0,0,0
1,12,4,69,66,1,1,5,1,1,0,0,1,0,0,0,1,0
0,11,3,100,74,1,1,2,0,0,0,0,1,0,0,0,0,0
1,11,2,100,53,0,1,2,0,0,0,0,0,1,0,0,1,0
0,11,0,89,67,1,0,3,0,1,0,0,0,0,1,0,1,0
1,12,1,92,78,0,1,4,0,0,0,0,1,0,0,0,1,0
1,12,2,72,88,0,0,3,0,0,0,1,1,0,0,0,0,0
1,11,3,84,100,0,1,4,0,0,1,0,1,0,0,1,0,0
1,12,1,69,64,1,1,1,0,1,0,0,0,0,1,0,0,1
0,9,2,87,71,1,1,2,0,0,0,0,0,0,0,0,0,1
1,12,3,72,96,0,1,3,0,0,0,1,1,0,0,0,0,0
1,11,2,96,80,1,1,6,0,0,0,0,0,0,0,1,0,0
0,11,3,90,81,1,1,3,0,0,1,0,0,1,0,1,0,0
0,9,3,98,77,1,1,5,1,0,0,0,1,0,0,0,1,0
0,11,4,84,96,1,1,4,0,0,0,0,0,0,1,1,0,0
1,11,1,100,74,1,1,3,0,1,0,0,1,0,0,0,0,0
0,11,0,86,64,0,1,3,0,0,0,1,1,0,0,1,0,0
0,10,4,78,68,0,1,3,0,0,0,0,0,0,1,0,0,0
0,12,0,80,38,1,1,4,1,0,1,0,1,0,0,0,0,0
1,9,0,92,86,1,1,6,1,0,1,0,1,0,0,0,0,0
0,9,3,75,74,1,1,4,0,0,0,0,0,0,0,0,1,0
1,11,2,73,97,0,1,5,0,0,0,1,1,0,0,0,1,0
1,10,4,82,75,1,1,2,0,1,0,0,0,0,0,0,0,0
1,9,3,64,71,0,1,3,0,0,1,0,0,0,1,1,0,0
1,12,1,74,70,1,1,2,0,1,0,0,0,0,0,0,1,0
1,12,5,91,66,0,1,4,0,1,0,0,1,0,0,0,0,0
1,12,3,98,88,1,1,3,1,0,1,0,1,0,0,0,1,0
0,10,3,78,85,0,1,5,0,0,0,0,1,0,0,0,1,0
0,10,3,93,84,1,1,2,0,0,0,0,0,0,1,1,0,0
0,12,4,79,94,0,1,4,0,0,1,0,1,0,0,0,1,0
0,10,3,100,64,1,1,5,0,0,1,0,0,0,1,0,1,0
1,11,5,86,65,0,1,1,0,1,0,0,1,0,0,0,0,0
0,9,2,81,81,0,1,7,0,0,1,0,1,0,0,0,1,0
1,11,3,79,74,1,1,3,0,1,0,0,0,0,0,1,0,0
0,10,6,100,81,0,1,1,0,0,1,0,0,1,0,0,0,1
1,12,3,86,84,1,1,4,0,0,0,1,0,0,1,1,0,0
0,9,1,82,49,1,1,4,0,0,0,0,1,0,0,0,1,0
0,9,3,91,67,1,1,3,0,0,0,0,0,1,0,0,0,0
1,11,5,72,53,1,0,5,1,0,1,0,0,0,0,1,0,0
0,12,3,95,100,0,1,5,0,0,1,0,0,0,0,0,1,0
0,12,2,95,74,0,1,4,1,0,1,0,0,0,1,0,0,0
1,11,2,93,84,1,1,4,1,1,0,0,0,0,0,0,0,0
0,9,0,99,95,1,1,3,1,0,1,0,0,0,0,0,0,0
1,9,2,88,82,0,1,6,0,1,0,0,1,0,0,1,0,0
0,9,3,79,64,0,1,1,0,1,0,0,0,0,1,0,1,0
1,10,2,96,83,1,0,4,0,0,1,0,0,0,0,1,0,0
1,11,2,92,32,0,1,4,0,1,0,0,1,0,0,0,0,0
1,11,4,67,69,1,1,5,0,1,0,0,1,0,0,0,0,0
1,12,1,72,92,1,1,2,0,0,0,1,0,1,0,0,0,1
0,11,2,88,74,0,1,1,1,0,0,0,0,1,0,0,1,0
1,11,3,85,55,1,1,4,0,1,0,0,1,0,0,1,0,0
1,11,4,80,51,1,1,4,0,1,0,0,1,0,0,0,1,0
0,10,2,100,87,1,1,6,0,0,1,0,1,0,0,0,0,0
0,10,2,81,70,0,1,2,1,0,1,0,0,1,0,1,0,0
0,9,6,88,81,0,1,5,0,0,0,0,0,1,0,0,1,0
1,9,4,87,71,1,1,7,0,0,0,0,1,0,0,0,0,1
0,12,2,84,74,1,1,3,1,0,0,0,1,0,0,1,0,0
1,11,4,85,85,1,1,2,0,0,0,0,1,0,0,0,0,0
0,11,2,85,45,1,1,3,0,1,0,0,1,0,0,0,0,0
0,12,4,88,89,1,1,4,0,0,0,1,1,0,0,0,0,0
1,12,0,100,72,0,1,4,0,0,1,0,1,0,0,0,1,0
0,9,4,74,84,1,0,3,0,0,1,0,0,1,0,0,1,0
1,11,1,78,100,1,1,6,0,0,0,0,0,1,0,0,0,0
0,11,2,87,88,1,1,2,0,0,0,0,1,0,0,0,0,0
1,12,3,86,80,1,1,1,0,0,0,0,0,1,0,0,1,0
0,12,6,84,78,0,1,5,0,0,0,0,0,0,1,1,0,0
1,9,4,96,92,1,1,1,0,0,1,0,1,0,0,0,1,0
1,9,3,73,99,1,1,3,0,1,0,0,1,0,0,0,0,0
0,9,1,88,63,1,1,8,1,1,0,0,0,0,0,0,0,0
0,11,2,88,79,1,1,3,1,0,0,0,1,0,0,0,0,0
1,12,3,100,81,1,1,2,0,0,0,1,1,0,0,0,0,0
