Student_ID,Gender,Grade_Level,Study_Hours,Attendance (%),Exam_Score,Parent_Education,Satisfaction_Level,Extra_Curricular,Internet_Access,Daily_Screen_Time,Part_Time_Job,Health_Status
1169,Female,9,2.02,80,66,Master's,Satisfied,No,Yes,3.95,No,Good
1170,Male,10,1.7,85,62,Bachelor's,Unsatisfied,Yes,Yes,2.72,No,Excellent
1171,Male,10,3.41,84,71,Bachelor's,Neutral,No,Yes,5.94,Yes,Excellent
1172,Female,12,1.64,79,86,Master's,Satisfied,Yes,No,4.08,No,Good
1173,Male,10,3.75,75,76,Bachelor's,Neutral,Yes,Yes,7.07,No,Good
1174,Female,9,4.13,68,83,Master's,Very Satisfied,Yes,Yes,1.56,No,Poor
1175,Male,12,2.01,90,63,High School,Neutral,No,Yes,3.16,No,Good
1176,Male,11,0.29,68,75,Master's,Unsatisfied,No,Yes,4.05,No,Average
1177,Male,11,3.39,75,84,Bachelor's,Very Satisfied,Yes,Yes,5.71,No,Poor
1178,Female,12,0.51,84,56,High School,Satisfied,Yes,Yes,4.6,No,Average
1179,Female,11,2.02,85,62,Bachelor's,Satisfied,No,Yes,4.47,No,Good
1180,Male,9,2.42,95,66,PhD,Satisfied,No,Yes,2.31,No,Average
1181,Female,9,4.25,73,82,High School,Very Satisfied,Yes,Yes,2.26,No,Excellent
1182,Male,11,5.16,60,63,Bachelor's,Satisfied,Yes,Yes,4.48,No,Poor
1183,Male,12,3.87,82,80,Bachelor's,Satisfied,Yes,Yes,1.95,No,Excellent
1184,Female,10,2.09,85,72,PhD,Satisfied,No,Yes,3.2,No,Good
1185,Female,9,4.75,87,80,Bachelor's,Satisfied,Yes,No,4.75,No,Average
1186,Female,9,2.38,80,68,PhD,Satisfied,No,Yes,2.53,Yes,Average
1187,Female,11,3.59,80,79,Master's,Satisfied,Yes,Yes,6.41,No,Good
1188,Male,12,6.11,93,70,High School,Neutral,Yes,Yes,5.84,No,Good
1189,Male,12,4.8,80,44,PhD,Very Satisfied,Yes,Yes,1.64,No,Good
1190,Male,12,1.49,66,69,Bachelor's,Neutral,No,No,2.6,No,Average
1191,Female,12,3.03,100,79,Master's,Satisfied,No,Yes,1,No,Good
1192,Male,11,2.67,93,41,Bachelor's,Very Satisfied,Yes,Yes,2.83,No,Excellent
1193,Female,12,3.35,92,52,High School,Very Satisfied,No,Yes,5.15,No,Average
1194,Male,10,4.72,88,68,Bachelor's,Unsatisfied,Yes,Yes,3.38,No,Good
1195,Female,9,3.95,100,77,High School,Very Satisfied,Yes,Yes,4.69,No,Average
1196,Male,12,3.37,80,62,PhD,Satisfied,Yes,Yes,1.72,Yes,Good
1197,Male,12,4.25,76,76,PhD,Neutral,Yes,Yes,5.2,No,Good
1198,Female,12,2.28,89,80,Master's,Very Satisfied,Yes,Yes,3.17,Yes,Average
1199,Male,12,4.56,79,70,Bachelor's,Satisfied,No,Yes,4.02,No,Poor
1200,Male,9,1.53,80,80,Bachelor's,Satisfied,Yes,Yes,3.86,No,Poor
1201,Female,11,4.14,75,88,PhD,Satisfied,No,Yes,2.09,No,Good
1202,Male,11,5.03,89,100,Master's,Very Satisfied,Yes,Yes,2.27,No,Good
1203,Female,10,1.84,72,48,Bachelor's,Satisfied,No,Yes,5.45,No,Excellent
1204,Female,12,5.24,91,74,Bachelor's,Satisfied,Yes,Yes,4.6,Yes,Good
1205,Male,10,3.42,73,100,Bachelor's,Neutral,Yes,Yes,5.58,Yes,Average
1206,Female,9,3.19,86,85,Bachelor's,Satisfied,Yes,Yes,4.49,No,Excellent
1207,Female,12,3.72,87,63,PhD,Satisfied,Yes,Yes,4.21,No,Good
1208,Male,12,3.71,100,95,PhD,Neutral,No,Yes,1.41,No,Good
1209,Female,9,5.39,79,60,PhD,Satisfied,Yes,Yes,3.59,No,Poor
1210,Female,9,2.81,85,91,Master's,Satisfied,No,No,3.96,Yes,Average
1211,Male,9,0.46,100,72,Bachelor's,Very Satisfied,Yes,Yes,6.93,No,Excellent
1212,Female,12,2.36,74,50,Master's,Very Satisfied,Yes,Yes,5.03,No,Good
1213,Female,11,4.23,85,55,Master's,Very Satisfied,Yes,Yes,6.3,Yes,Average
1214,Female,9,1.06,81,100,Master's,Neutral,No,Yes,4.9,No,Good
1215,Female,10,2.61,69,71,Master's,Satisfied,No,Yes,2.93,No,Excellent
1216,Male,9,2.59,58,74,Bachelor's,Satisfied,Yes,Yes,4.18,Yes,Average
1217,Male,9,2.65,91,100,Bachelor's,Unsatisfied,Yes,Yes,4.35,No,Good
1218,Female,11,4.69,82,58,Bachelor's,Neutral,Yes,Yes,2.59,No,Excellent
1219,Female,10,6.86,85,75,High School,Unsatisfied,No,Yes,3.42,No,Average
1220,Female,10,2.96,86,72,Bachelor's,Satisfied,No,Yes,3.69,No,Good
1221,Male,12,2.14,79,74,Master's,Satisfied,Yes,Yes,6.41,No,Good
1222,Male,12,2.18,77,76,PhD,Satisfied,Yes,Yes,1,No,Good
1223,Male,9,2.62,100,35,Bachelor's,Satisfied,Yes,Yes,5.81,Yes,Average
1224,Female,12,4.64,97,43,Master's,Satisfied,No,Yes,2.59,No,Average
1225,Female,10,2.49,81,53,PhD,Very Satisfied,Yes,Yes,1.94,No,Good
1226,Male,10,1.83,73,100,Bachelor's,Satisfied,No,Yes,5.77,No,Average
1227,Female,11,4.4,97,85,High School,Very Satisfied,Yes,Yes,5.1,No,Good
1228,Female,11,1.31,79,82,High School,Very Satisfied,No,Yes,5.88,No,Average
1229,Male,12,1.17,92,71,Master's,Very Satisfied,No,Yes,5.2,No,Poor
1230,Male,11,2.44,92,81,High School,Neutral,No,Yes,7.09,No,Excellent
1231,Female,10,2.46,96,58,Master's,Very Satisfied,No,Yes,4.84,No,Good
1232,Male,11,3.92,90,70,Master's,Unsatisfied,No,Yes,3.77,Yes,Excellent
1233,Female,10,3.49,72,88,High School,Neutral,Yes,Yes,4.51,No,Average
1234,Female,10,2.72,79,90,High School,Satisfied,Yes,Yes,5.87,Yes,Good
1235,Female,11,1.94,70,51,Master's,Neutral,Yes,Yes,2.83,No,Average
1236,Female,11,3.91,72,100,Master's,Satisfied,No,Yes,3.02,No,Good
1237,Male,12,0,100,78,PhD,Neutral,Yes,Yes,3.54,Yes,Good
1238,Male,12,2.85,79,80,PhD,Very Satisfied,No,Yes,1,No,Average
1239,Female,9,2.94,96,76,Master's,Unsatisfied,No,Yes,4.21,No,Excellent
1240,Male,12,3.23,81,74,Bachelor's,Satisfied,Yes,Yes,1.17,No,Average
1241,Female,12,3.46,67,54,Master's,Very Satisfied,Yes,Yes,4.08,No,Good
1242,Male,10,4.11,86,72,Bachelor's,Satisfied,Yes,Yes,5.3,Yes,Excellent
1243,Female,10,3.03,88,66,Master's,Satisfied,Yes,Yes,3.28,No,Excellent
1244,Female,11,1.83,86,60,Master's,Neutral,Yes,Yes,6.52,No,Excellent
1245,Male,9,3.61,67,90,Bachelor's,Satisfied,Yes,Yes,1.81,No,Average
1246,Male,10,3.71,87,89,PhD,Neutral,No,Yes,5.79,No,Average
1247,Female,11,5.5,95,47,Master's,Satisfied,No,Yes,5.01,No,Average
1248,Female,10,1.08,78,75,PhD,Satisfied,Yes,Yes,1.43,No,Good
1249,Female,12,3.78,77,77,PhD,Neutral,Yes,Yes,8.07,No,Good
1250,Female,10,1.87,78,53,Bachelor's,Very Satisfied,Yes,Yes,3.9,No,Average
1251,Female,9,1.62,71,60,PhD,Satisfied,No,Yes,2.68,No,Good
1252,Female,9,4.58,75,100,Bachelor's,Neutral,No,Yes,1.89,No,Average
1253,Male,12,3.74,86,62,High School,Neutral,Yes,Yes,3.67,No,Average
1254,Male,9,4.05,79,76,Master's,Neutral,Yes,Yes,3.81,No,Good
1255,Male,10,6.84,84,92,High School,Satisfied,No,Yes,4.15,Yes,Good
1256,Male,10,1.95,84,100,Master's,Neutral,No,Yes,3.55,No,Excellent
1257,Male,9,2.06,100,85,Bachelor's,Very Satisfied,Yes,Yes,4.95,No,Average
1258,Male,11,2.16,91,89,Master's,Neutral,No,No,3.42,No,Good
1259,Male,10,3.93,69,64,High School,Satisfied,Yes,Yes,1.1,No,Poor
1260,Male,11,2.63,84,84,High School,Neutral,Yes,Yes,3.78,Yes,Average
1261,Male,12,3.27,71,80,Bachelor's,Satisfied,No,Yes,1,No,Good
1262,Female,12,3.92,90,91,Master's,Satisfied,No,Yes,4.53,No,Excellent
1263,Male,12,4.25,89,73,Bachelor's,Very Satisfied,Yes,Yes,2.53,No,Average
1264,Male,11,0.51,89,78,Bachelor's,Very Satisfied,No,Yes,4.25,No,Average
1265,Male,12,3.41,72,58,Master's,Satisfied,Yes,No,5.97,No,Good
1266,Male,12,4.58,84,85,Master's,Satisfied,No,Yes,2.58,No,Average
1267,Male,11,3.04,85,89,Master's,Unsatisfied,Yes,Yes,5.59,No,Excellent
1268,Female,11,2.23,85,68,Bachelor's,Satisfied,No,Yes,3.35,Yes,Good
1269,Female,12,2.35,81,78,Bachelor's,Satisfied,No,Yes,6.63,No,Average
1270,Male,10,2.28,97,61,Bachelor's,Very Satisfied,Yes,Yes,3.45,No,Good
1271,Female,11,2.72,80,96,Master's,Satisfied,No,Yes,2.74,No,Good
1272,Male,11,3.29,95,52,Bachelor's,Satisfied,No,Yes,5.03,No,Average
1273,Female,10,3.4,93,76,Master's,Satisfied,No,Yes,3.35,Yes,Good
1274,Male,9,4.6,79,96,High School,Unsatisfied,Yes,Yes,2.74,No,Poor
1275,Female,10,6.45,81,68,Bachelor's,Satisfied,No,Yes,3.28,Yes,Good
1276,Female,9,5.18,100,67,Bachelor's,Very Satisfied,No,Yes,3.93,No,Average
1277,Female,9,2.37,82,54,PhD,Satisfied,Yes,Yes,6.01,Yes,Excellent
1278,Female,9,1.62,74,63,Bachelor's,Neutral,No,Yes,1.1,No,Average
1279,Female,10,2.95,87,98,Master's,Satisfied,Yes,Yes,4.03,No,Average
1280,Female,9,1.5,94,71,Master's,Satisfied,Yes,Yes,4.94,No,Excellent
1281,Female,9,2.93,91,58,Master's,Satisfied,Yes,Yes,4.29,Yes,Poor
1282,Female,9,3.57,86,82,High School,Satisfied,Yes,Yes,5.96,No,Average
1283,Female,11,3.43,100,65,Bachelor's,Neutral,No,Yes,3.89,No,Average
1284,Male,12,2.2,78,66,High School,Satisfied,Yes,Yes,3.72,No,Average
1285,Male,9,2.04,96,96,Master's,Neutral,No,Yes,4.89,No,Excellent
1286,Female,12,2.14,76,82,Bachelor's,Satisfied,Yes,Yes,4.15,No,Good
1287,Female,9,2.17,91,78,PhD,Neutral,Yes,Yes,3.41,No,Poor
1288,Male,9,0.73,100,100,Bachelor's,Satisfied,Yes,Yes,4.77,No,Good
1289,Female,12,2.08,81,79,Bachelor's,Neutral,Yes,Yes,3.02,Yes,Good
1290,Male,11,3.5,91,100,Bachelor's,Neutral,No,No,3.08,No,Excellent
1291,Female,11,2.73,77,54,High School,Satisfied,No,Yes,3.21,No,Average
1292,Male,9,1.9,84,100,High School,Very Satisfied,No,Yes,6.03,Yes,Good
1293,Male,11,2.22,87,74,Bachelor's,Neutral,Yes,Yes,1,No,Good
1294,Female,12,4.78,100,67,High School,Satisfied,Yes,Yes,4.59,No,Good
1295,Male,11,2.27,95,85,High School,Very Satisfied,Yes,Yes,4.05,No,Good
1296,Male,12,5.77,90,69,High School,Very Satisfied,Yes,Yes,1.48,No,Average
1297,Female,12,3.89,96,87,Bachelor's,Satisfied,Yes,Yes,4.46,Yes,Good
1298,Female,11,3.76,95,92,High School,Unsatisfied,No,Yes,4.71,No,Good
1299,Female,10,5.07,91,72,Master's,Satisfied,Yes,Yes,4.88,No,Excellent
1300,Female,9,3.22,97,62,Bachelor's,Neutral,No,Yes,1,Yes,Average
1301,Female,12,3.55,81,75,Bachelor's,Satisfied,Yes,Yes,6.05,No,Good
1302,Female,11,4.92,86,75,High School,Satisfied,Yes,Yes,2.89,Yes,Excellent
1303,Male,9,0.96,92,84,Bachelor's,Neutral,No,Yes,5.03,No,Good
1304,Female,11,6.24,81,78,Master's,Very Satisfied,Yes,Yes,5.11,No,Excellent
1305,Male,10,3.37,100,73,High School,Neutral,No,Yes,2.68,No,Excellent
1306,Male,10,3.42,91,77,Master's,Satisfied,No,Yes,4.99,Yes,Average
1307,Male,12,2.33,86,91,Bachelor's,Satisfied,Yes,Yes,3.42,Yes,Good
1308,Female,11,1.46,86,64,PhD,Satisfied,No,No,1,No,Average
1309,Male,12,4.79,69,66,High School,Satisfied,Yes,Yes,5.75,Yes,Good
1310,Female,11,3.57,100,74,Bachelor's,Satisfied,Yes,Yes,2.84,No,Average
1311,Male,11,2.17,100,53,Bachelor's,Unsatisfied,No,Yes,2.72,No,Good
1312,Female,11,0,89,67,High School,Very Satisfied,Yes,No,3.4,No,Good
1313,Male,12,1.47,92,78,Bachelor's,Satisfied,No,Yes,4.41,No,Good
1314,Male,12,2.15,72,88,PhD,Satisfied,No,No,3.91,No,Average
1315,Male,11,3.98,84,100,Master's,Satisfied,No,Yes,4.82,No,Excellent
